generation,average_fitness,best_fitness,elite_average_fitness,fitness_scores
32,-288.00932216644287,-9.448068618774414,-356.98793029785156,"[-386.8563232421875, -327.1195373535156, -121.58533477783203, -331.0196228027344, -9.448068618774414, -663.1588745117188, -35.611576080322266, -370.7508239746094, -317.40606689453125, -317.1369934082031]"
33,-62.95095467567444,-7.963740825653076,-9.67656421661377,"[-8.177175521850586, -11.175952911376953, -17.804536819458008, -31.175975799560547, -7.963740825653076, -93.80281066894531, -12.845337867736816, -14.685674667358398, -336.1968078613281, -95.68153381347656]"
34,-271.8864067077637,-10.428862571716309,-167.95869302749634,"[-321.16632080078125, -14.751065254211426, -655.5684204101562, -511.1686096191406, -337.9320068359375, -164.45750427246094, -333.46240234375, -10.428862571716309, -345.7202453613281, -24.208629608154297]"
35,-161.80779032707215,-7.900387287139893,-70.07449054718018,"[-127.14417266845703, -13.00480842590332, -10.83116626739502, -134.1510772705078, -486.5005798339844, -13.51980972290039, -12.781486511230469, -362.60809326171875, -449.6363220214844, -7.900387287139893]"
36,-189.16111726760863,-11.884531021118164,-168.11371326446533,"[-11.884531021118164, -324.3428955078125, -319.1311340332031, -425.7063903808594, -212.6876678466797, -104.9609146118164, -128.94110107421875, -163.8071746826172, -14.94147777557373, -185.2078857421875]"
37,-183.4001835823059,-6.360084533691406,-232.1832275390625,"[-324.3946838378906, -139.97177124023438, -10.849347114562988, -627.162353515625, -356.6002197265625, -115.14580535888672, -77.37396240234375, -6.360084533691406, -160.9650115966797, -15.178596496582031]"
38,-214.05535740852355,-6.606975078582764,-189.60462760925293,"[-334.9881591796875, -44.22109603881836, -17.025754928588867, -324.53973388671875, -437.37042236328125, -21.372241973876953, -9.523215293884277, -624.899169921875, -320.0068054199219, -6.606975078582764]"
39,-280.73440165519713,-7.98615026473999,-101.19107151031494,"[-176.0380859375, -26.344057083129883, -640.903564453125, -8.409793853759766, -18.089519500732422, -7.98615026473999, -319.16986083984375, -633.0497436523438, -648.8431396484375, -328.5101013183594]"
40,-220.51758031845094,-5.533234596252441,-110.25870513916016,"[-125.47570037841797, -95.04170989990234, -5.533234596252441, -328.21697998046875, -321.5538330078125, -16.465444564819336, -531.8358154296875, -323.0025939941406, -319.8043518066406, -138.2461395263672]"
41,-98.52313232421875,-9.064088821411133,-126.01013946533203,"[-120.16658020019531, -131.85369873046875, -9.064088821411133, -54.44114685058594, -33.35166549682617, -328.2105712890625, -21.852500915527344, -166.99720764160156, -20.456377029418945, -98.83748626708984]"
42,-313.618511390686,-6.617593765258789,-223.4536008834839,"[-438.0872802734375, -8.819921493530273, -317.2150573730469, -6.617593765258789, -318.10223388671875, -182.38470458984375, -586.9002075195312, -12.128030776977539, -945.3447265625, -320.5853576660156]"
43,-220.37776145935058,-5.781959533691406,-75.14301490783691,"[-121.07709503173828, -29.208934783935547, -103.93582916259766, -5.781959533691406, -10.117441177368164, -945.5978393554688, -15.476078033447266, -7.520578384399414, -326.0403137207031, -639.0215454101562]"
44,-308.93852548599244,-3.4685564041137695,-170.87468957901,"[-3.4685564041137695, -338.28082275390625, -323.75543212890625, -358.0416564941406, -429.4115295410156, -320.0774230957031, -647.0162353515625, -17.33096694946289, -20.09772491455078, -631.9049072265625]"
45,-293.8659420013428,-11.90682601928711,-216.1186866760254,"[-111.69306182861328, -320.5443115234375, -243.06741333007812, -952.3546752929688, -455.90362548828125, -11.90682601928711, -461.784423828125, -106.28054809570312, -151.4037628173828, -123.72077178955078]"
46,-150.28802738189697,-6.819843292236328,-145.88358306884766,"[-163.71885681152344, -128.04830932617188, -6.819843292236328, -134.9314727783203, -327.7721862792969, -12.813924789428711, -140.524169921875, -139.74501037597656, -124.40078735351562, -324.105712890625]"
47,-313.4102165222168,-8.7406005859375,-583.1337738037109,"[-726.1674194335938, -440.1001281738281, -323.9874572753906, -121.06451416015625, -432.7821044921875, -8.7406005859375, -640.6749267578125, -102.4448471069336, -321.15802001953125, -16.982147216796875]"
48,-264.221097278595,-13.499649047851562,-327.6545639038086,"[-633.7910766601562, -21.518051147460938, -13.499649047851562, -15.04442310333252, -175.26400756835938, -642.074951171875, -166.93763732910156, -334.7593688964844, -322.8655700683594, -316.45623779296875]"
49,-268.89894261360166,-7.359615802764893,-145.9815902709961,"[-144.7476043701172, -147.215576171875, -7.359615802764893, -458.55078125, -630.3731689453125, -276.77398681640625, -14.20737075805664, -28.720062255859375, -390.37249755859375, -590.6687622070312]"
